,MAPE,MSE,Time
R_RF1,18.820462276578205,50238635.61542955,96.2381584
R_RF2,19.039458118657514,44949987.36405498,635.3491981
R_XGB1,13.128790020560485,24235647.84642631,17.304973000000018
R_XGB2,19.039458118657514,44949987.36405498,623.7853124000001
R_XGB3,14.975039694289322,29374728.671074945,2821.5810387
R_XGB4,28.174376607223717,90180445.10429119,196.213466453
R_XGB5,25.065947356121754,91052095.98077756,1608.6458768831
R_XGB6,35.120758966605685,145810770.47574413,889.46854642
D_RF1,17.0202809293907,74110663204.3714,139.6772484999999
D_RF2,18.275183700028823,94410924451.88441,565.8698384999998
D_RF3,7.349203739049641,17334656405.1729,8467.682626
D_XGB1,15.876258398757138,65587271026.136116,26.9783654999992
D_XGB2,17.143311315439526,83885612566.61472,173.22075239999958
D_XGB3,9.876091658997467,32001241482.837982,1217.6094355999994